"","Job","Job_partner","Household_size","Education","Education_partner","Edu_diff","Dad_Edu","Mum_Edu","Parents_gap","Parents_gap_cat","emp14Father","emp14Mother","emp14Diff","gndr2","gndr3","gndr4","gndr5","gndr6","gndr7","gndr8","gndr9","gndr10","gndr11","gndr12","gndr13","gndr14","gndr15","Gender_share","Approval","Interfere","Female","Immigrant","Age","Age_sq","Domicile","Maritalstatus","Child","Minority","Country","Income","Income_sq","Interviewe_Female","Job_diff","Unemployed","Unemployed_partner","Housework_partner","Employment_partner","Trust","Religiosity","weight","Vignette_gender"
"19952",37.87,NA,3,4,4,0,2,3,-1,"Mother more",1,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1,0,1,1,32,1024,1,3,1,2,"CZ",6,36,1,NA,0,0,1,NA,5,1,0.345083101437285,0
"19953",37.87,42.78,2,4,3,1,4,3,1,"Father more",1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,2,0,1,1,26,676,1,4,NA,2,"HU",5,25,0,-4.91,0,0,0,1,5,5,0.61809356148805,1
"19954",44.01,42.78,2,2,2,0,1,1,0,"Equal",2,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1,1,1,1,69,4761,3,1,3,2,"CY",3,9,1,1.23,0,0,0,1,5,10,0.0795731551473685,1
"19955",36.76,34,3,2,3,-1,4,2,2,"Father more",1,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0.666666666666667,1,1,1,1,26,676,4,4,1,2,"BE",6,36,1,2.76,0,0,0,1,4,0,0.519904309633259,1
"19956",15,NA,5,4,4,0,NA,4,NA,NA,1,1,2,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0.6,2,0,1,1,59,3481,3,1,1,2,"BG",6,36,0,NA,0,0,0,1,2,7,0.292955846980267,1
"19957",64.51,49,4,7,6,1,7,7,0,"Equal",1,1,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,1,1,49,2401,3,1,1,2,"NO",9,81,0,15.51,0,0,0,1,8,3,0.310446726728609,1
"19958",45.93,NA,3,6,4,2,4,2,2,"Father more",1,3,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0.5,2,0,1,1,75,5625,1,1,2,2,"HU",6,36,1,NA,0,0,0,NA,4,7,0.61809356148805,1
"19959",61.15,NA,2,6,3,3,NA,5,NA,NA,NA,3,NA,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,3,1,1,1,78,6084,4,1,3,2,"DE",2,4,0,NA,0,0,0,NA,8,6,3.03572368021592,0
"19960",54.88,29,2,7,4,3,1,1,0,"Equal",3,3,NA,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,3,0,1,1,63,3969,4,1,2,2,"BE",5,25,0,25.88,0,0,0,1,7,7,0.534258098385304,0
"19961",30.28,23.13,4,4,4,0,4,1,3,"Father more",2,3,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0.5,1,0,2,1,33,1089,4,1,2,2,"CY",5,25,0,7.15,0,0,0,1,5,7,0.0797525533674701,1
"19962",42.78,NA,6,2,2,0,2,2,0,"Equal",1,3,1,2,2,2,1,2,0,0,0,0,0,0,0,0,0,0.75,1,0,1,1,38,1444,5,1,4,2,"IE",NA,NA,1,NA,0,0,1,NA,5,6,0.159209099744686,0
"19963",54.05,13,4,7,7,0,3,2,1,"Father more",1,1,2,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0.5,1,0,2,1,33,1089,4,1,2,2,"NL",10,100,1,41.05,0,0,0,1,8,1,0.957872853117156,1
"19964",42.78,31.89,3,5,3,2,3,3,0,"Equal",1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333333333,2,0,2,1,28,784,3,1,1,2,"CZ",NA,NA,1,10.89,0,0,0,1,9,8,0.345083101437285,0
"19965",48,NA,2,4,4,0,1,1,0,"Equal",4,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,2,0,1,1,76,5776,3,1,3,2,"EE",3,9,1,NA,0,0,0,NA,3,0,0.0578997557440916,1
"19966",66,56.21,4,4,7,-3,3,NA,NA,NA,2,3,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0.625,0,0,1,1,44,1936,4,4,2,2,"NL",10,100,0,9.79,0,0,0,1,8,4,0.862798891181024,0
"19967",46,78.16,5,4,6,-2,3,3,0,"Equal",1,3,1,2,1,2,2,0,0,0,0,0,0,0,0,0,0,0.7,0,0,1,1,54,2916,1,1,3,2,"SI",9,81,1,-32.16,0,0,0,1,7,10,0.133247572,0
"19968",34,30.98,3,4,4,0,4,4,0,"Equal",1,3,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0.666666666666667,2,0,1,2,28,784,3,3,1,2,"EE",10,100,1,3.02,0,0,1,1,6,2,0.0578303948537067,1
"19969",63.18,27.62,2,7,3,4,7,7,0,"Equal",1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,2,0,2,1,57,3249,3,1,2,2,"CZ",9,81,0,35.56,0,0,0,1,3,1,0.345083101437285,0
"19970",44,NA,4,4,4,0,3,7,-4,"Mother more",1,1,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0.625,3,0,1,1,35,1225,4,1,2,2,"HU",NA,NA,1,NA,0,0,1,NA,5,NA,0.377385395990961,1
"19971",NA,NA,4,4,4,0,4,3,1,"Father more",1,1,2,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0.625,2,0,1,1,57,3249,4,1,2,2,"HU",NA,NA,1,NA,0,0,0,1,6,0,0.61809356148805,1
"19972",40.28,40.28,2,2,2,0,3,2,1,"Father more",1,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,2,0,1,1,42,1764,4,3,NA,2,"GB",8,64,1,0,0,0,0,1,6,5,2.51466945677532,1
"19973",40.28,NA,2,4,2,2,1,1,0,"Equal",2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,2,1,70,4900,4,1,3,2,"PL",NA,NA,0,NA,0,0,0,NA,2,8,2.18349377106263,1
"19974",32,32.77,3,1,1,0,1,1,0,"Equal",1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333333333,3,0,2,2,26,676,4,1,1,1,"CH",2,4,0,-0.770000000000003,0,0,0,1,7,4,0.467903696,0
"19975",29,38.57,3,3,3,0,5,3,2,"Father more",1,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0.5,2,0,1,1,53,2809,1,3,2,2,"CZ",7,49,1,-9.57,0,0,0,1,5,4,0.345083101437285,1
"19976",42.78,15,4,3,4,-1,2,2,0,"Equal",4,1,3,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0.5,3,0,2,1,34,1156,3,1,2,2,"HU",6,36,1,27.78,0,0,0,1,0,6,0.381687306495251,1
